,Document
60,"['0.txt', '1.txt', '2.txt']"
6000,['2.txt']
61825,"['0.txt', '1.txt', '2.txt']"
638,['1.txt']
64,['1.txt']
65,"['1.txt', '2.txt']"
680,['1.txt']
69,['1.txt']
6handle,['2.txt']
6th,"['1.txt', '2.txt']"
7,"['0.txt', '1.txt', '2.txt']"
70,['2.txt']
700,['2.txt']
71,['1.txt']
7377,['1.txt']
742,['1.txt']
75th,['2.txt']
77,['2.txt']
79,['2.txt']
7th,['2.txt']
8,"['0.txt', '1.txt']"
80,['2.txt']
81,['2.txt']
82,['2.txt']
83,['1.txt']
84,['2.txt']
89,['1.txt']
8pieces,['2.txt']
8th,['1.txt']
8vo,['1.txt']
9,"['0.txt', '2.txt']"
90,"['0.txt', '1.txt', '2.txt']"
930,['2.txt']
94,['2.txt']
96,['2.txt']
98,['2.txt']
985nine,['2.txt']
9th,['1.txt']
9two,['2.txt']
a,"['0.txt', '1.txt', '2.txt']"
a11,['2.txt']
aaron,"['0.txt', '1.txt']"
aarons,['0.txt']
ab,"['0.txt', '2.txt']"
ab3ut,['2.txt']
aback,['2.txt']
abana,['2.txt']
abandon,"['0.txt', '1.txt', '2.txt']"
abandond,['0.txt']
abandoned,"['0.txt', '1.txt', '2.txt']"
abandoning,['1.txt']
abandonment,['2.txt']
abandons,['1.txt']
abase,['0.txt']
abased,['2.txt']
abasement,"['1.txt', '2.txt']"
abashed,['2.txt']
abate,"['0.txt', '1.txt']"
abated,"['0.txt', '1.txt', '2.txt']"
abatement,['0.txt']
abates,['0.txt']
abazai,['2.txt']
abazaiat,['2.txt']
abb,['0.txt']
abbaisse,['0.txt']
abbatus,['1.txt']
abbesse,['0.txt']
abbey,"['0.txt', '1.txt']"
abbies,['0.txt']
abbortiues,['0.txt']
abbot,['0.txt']
abbots,['0.txt']
abbottabad,['2.txt']
abbreviated,['2.txt']
abbreviations,['0.txt']
abc,['0.txt']
abdhur,['2.txt']
abdicate,['1.txt']
abdicated,['1.txt']
abdicating,['1.txt']
abdication,"['1.txt', '2.txt']"
abdul,['2.txt']
abed,"['0.txt', '1.txt']"
abel,"['0.txt', '1.txt']"
abelard,['1.txt']
abels,['0.txt']
aberrations,['1.txt']
aberyswith,['2.txt']
abett,['0.txt']
abetting,"['0.txt', '2.txt']"
abeyance,['2.txt']
abh,['0.txt']
abhominable,['0.txt']
abhominably,['0.txt']
abhominations,['0.txt']
abhor,"['0.txt', '1.txt']"
abhord,['0.txt']
abhorrd,['0.txt']
abhorrdst,['0.txt']
abhorre,['0.txt']
abhorred,"['0.txt', '1.txt', '2.txt']"
abhorrence,['1.txt']
abhorrers,['1.txt']
abhorres,['0.txt']
abhorring,['0.txt']
abhors,['0.txt']
abhorson,['0.txt']
abide,"['0.txt', '1.txt', '2.txt']"
abided,['2.txt']
abides,"['0.txt', '2.txt']"
abiding,['2.txt']
abiect,['0.txt']
abiectly,['0.txt']
abiects,['0.txt']
abiliments,['0.txt']
abilitie,['0.txt']
abilities,"['0.txt', '1.txt']"
ability,"['0.txt', '1.txt', '2.txt']"
abisme,['0.txt']
abit,['2.txt']
abiurd,['0.txt']
abiure,['0.txt']
abject,"['1.txt', '2.txt']"
abjectly,['2.txt']
abjuration,['1.txt']
abjured,['1.txt']
ablaze,['2.txt']
able,"['0.txt', '1.txt', '2.txt']"
ablebodied,['2.txt']
ablepreacher,['1.txt']
abler,['0.txt']
ablest,['1.txt']
ablity,['1.txt']
ably,"['1.txt', '2.txt']"
abnormally,['2.txt']
aboad,['0.txt']
aboade,['0.txt']
aboaded,['0.txt']
aboadments,['0.txt']
aboard,"['0.txt', '2.txt']"
aboarde,['0.txt']
abobbin,['2.txt']
abode,"['0.txt', '1.txt', '2.txt']"
aboding,['0.txt']
abofe,['2.txt']
abolish,['1.txt']
abolished,['1.txt']
abolishing,['1.txt']
abolition,['1.txt']
abominable,"['1.txt', '2.txt']"
abominably,['2.txt']
abominate,['2.txt']
abominates,['2.txt']
abomination,['1.txt']
abominations,['1.txt']
aboon,['2.txt']
aboord,['0.txt']
aboriginal,"['1.txt', '2.txt']"
aboriginalwhats,['2.txt']
aborigines,['1.txt']
abortiue,['0.txt']
abortive,['1.txt']
aboue,['0.txt']
abound,"['0.txt', '1.txt']"
aboundance,['0.txt']
abounded,['1.txt']
abounding,"['0.txt', '1.txt']"
abounds,['1.txt']
aboundst,['0.txt']
about,"['0.txt', '1.txt', '2.txt']"
aboutaboutsomething,['2.txt']
abouts,['0.txt']
aboutwhat,['2.txt']
above,"['0.txt', '1.txt', '2.txt']"
abovea,['2.txt']
abovei,['2.txt']
aboveis,['2.txt']
abra,['0.txt']
abraham,"['0.txt', '1.txt']"
abrahams,['0.txt']
abram,['0.txt']
abreast,['2.txt']
abrest,['0.txt']
abreuiated,['0.txt']
abridgd,['0.txt']
abridge,['0.txt']
abridgement,"['0.txt', '1.txt']"
abridgements,['0.txt']
abridgment,['0.txt']
abroach,['0.txt']
abroad,"['0.txt', '1.txt', '2.txt']"
abroadhe,['2.txt']
abrogate,['0.txt']
abrogated,['1.txt']
abrooding,['2.txt']
abrooke,['0.txt']
abrupt,['0.txt']
abruptly,"['0.txt', '2.txt']"
absalom,['1.txt']
absence,"['0.txt', '1.txt', '2.txt']"
absent,"['0.txt', '1.txt', '2.txt']"
absented,['1.txt']
absently,['2.txt']
absey,['0.txt']
absirtis,['0.txt']
absolud,['0.txt']
absolute,"['0.txt', '1.txt', '2.txt']"
absolutely,"['0.txt', '1.txt', '2.txt']"
absolution,['1.txt']
absolved,['1.txt']
absorbed,['2.txt']
absorbing,['2.txt']
abstain,"['1.txt', '2.txt']"
abstained,['1.txt']
